Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 160268088
100.300301,0.2,34.4,2123,3,2,0,20.06,1,0,
100.33033,2,34.51,1983,4,2,0,200.66,1,0,
100.270271,0.8,34.51,662,4,2,0,80.22,1,0,
100.420425,0.8,34.51,2603,5,2,0,80.34,1,0,
100.33033,0.6,34.48,3114,5,2,0,60.2,1,0,
100.450455,0.2,34.51,2917,5,3,0,20.09,1,0,
100.300301,0.6,34.46,2728,5,3,0,60.18,1,0,
100.33033,0.8,34.46,2874,5,3,0,80.26,1,0,
100.180183,0,34.48,3153,5,3,0,0,1,0,
100.390396,1,34.32,3159,5,3,0,100.39,1,0,
100.210213,1,34.37,3076,5,5,0,100.21,1,0,
100.33033,0.8,34.4,4031,5,5,0,80.26,1,0,
100.090096,1.8,34.35,4671,5,5,0,180.16,1,0,
100.390396,0.2,34.4,4895,5,5,0,20.08,1,0,
100.120125,0.8,34.46,5624,5,5,0,80.1,1,0,
100.33033,0.8,34.4,4860,5,5,0,80.26,1,0,
100.33033,0.4,34.46,5491,5,5,0,40.13,1,0,
100.150154,1.2,34.35,6036,5,5,0,120.18,1,0,
100.33033,0.6,34.32,5514,5,5,0,60.2,1,0,
100.420425,0.8,34.37,6261,5,5,0,80.34,1,0,
100.240242,1.2,34.4,6484,5,5,0,120.29,1,0,
100.210213,0.6,34.4,6249,5,5,0,60.13,1,0,
100.300301,1,34.46,7788,5,5,0,100.3,1,0,
100.420425,1,34.43,6386,5,5,0,100.42,1,0,
100.270271,0.6,34.48,6968,5,5,0,60.16,1,0,
100.240242,1.2,34.43,7187,5,5,0,120.29,1,0,
100.420425,0.4,34.37,7262,5,5,0,40.17,1,0,
100.390396,0.6,34.35,8426,5,5,0,60.23,1,0,
100.300301,0.8,34.35,7551,5,5,0,80.24,1,0,
100.300301,0.4,34.4,7303,5,5,0,40.12,1,0,
100.270271,1.2,34.35,7001,5,5,0,120.32,1,0,
100.240242,0.8,34.4,8041,5,5,0,80.19,1,0,
100.33033,0.6,34.37,8282,5,5,0,60.2,1,0,
100.390396,1,34.35,7278,5,5,0,100.39,1,0,
100.150154,0.2,34.35,8188,5,5,0,20.03,1,0,
100.360359,0.6,34.35,8507,5,5,0,60.22,1,0,
100.210213,1,34.43,8348,5,5,0,100.21,1,0,
100.360359,0.2,34.43,8288,5,5,0,20.07,1,0,
100.300301,1,34.4,8370,5,5,0,100.3,1,0,
100.390396,0.8,34.4,8035,5,5,0,80.31,1,0,
100.300301,0.6,34.37,8287,5,5,0,60.18,1,0,
100.270271,1,34.43,8135,5,5,0,100.27,1,0,
100.240242,0.4,34.43,8167,5,5,0,40.1,1,0,
100.360359,0.6,34.48,9420,5,5,0,60.22,1,0,
100.240242,1,34.46,9057,5,5,0,100.24,1,0,
100.360359,0.4,34.46,9360,5,5,0,40.14,1,0,
100.180183,1,34.43,8581,5,5,0,100.18,1,0,
100.300301,0.8,34.37,9347,5,5,0,80.24,1,0,
100.510513,0.6,34.4,8970,5,5,0,60.31,1,0,
100.450455,1.4,34.43,9442,5,5,0,140.63,1,0,
100.420425,0.2,34.43,8517,5,5,0,20.08,1,0,
100.360359,0.6,34.4,9452,5,5,0,60.22,1,0,
100.270271,0.6,34.4,9573,5,5,0,60.16,1,0,
100.420425,0.2,34.4,10096,5,5,0,20.08,1,0,
100.33033,1,34.46,8775,5,5,0,100.33,1,0,
100.270271,0.6,34.35,9191,5,5,0,60.16,1,0,
100.33033,0.4,34.37,8868,5,5,0,40.13,1,0,
100.33033,1.4,34.37,8762,5,5,0,140.46,1,0,
100.360359,0.4,34.46,9025,5,5,0,40.14,1,0,
100.450455,0.8,34.43,9695,5,5,0,80.36,1,0,
100.180183,1,34.4,9409,5,5,0,100.18,1,0,
100.420425,0.2,34.4,9351,5,5,0,20.08,1,0,
100.33033,1.2,34.57,9401,5,5,0,120.4,1,0,
100.33033,0.2,34.46,9546,5,5,0,20.07,1,0,
100.420425,0.8,34.46,8968,5,5,0,80.34,1,0,
100.450455,1.2,34.46,10338,5,5,0,120.54,1,0,
100.33033,0.2,34.46,11024,5,5,0,20.07,1,0,
100.240242,1.2,34.4,9749,5,5,0,120.29,1,0,
100.210213,1,34.35,9167,5,5,0,100.21,1,0,
100.420425,0.6,34.37,10845,5,5,0,60.25,1,0,
100.390396,1.2,34.4,9321,5,5,0,120.47,1,0,
100.270271,0.6,34.37,11045,5,5,0,60.16,1,0,
100.420425,0.2,34.43,9429,5,5,0,20.08,1,0,
100.270271,1,34.43,10518,5,5,0,100.27,1,0,
100.480484,0,34.35,9430,5,5,0,0,1,0,
100.240242,0.6,34.37,10138,5,5,0,60.14,1,0,
100.390396,0.4,34.32,9674,5,5,0,40.16,1,0,
100.420425,0.4,34.4,10459,5,5,0,40.17,1,0,
100.300301,1,34.43,9401,5,5,0,100.3,1,0,
100.270271,0.2,34.43,9476,5,5,0,20.05,1,0,
100.480484,0.6,34.32,9811,5,5,0,60.29,1,0,
99.939941,1.2,34.35,9894,5,5,0,119.93,1,0,
100.390396,0.2,34.43,10623,5,5,0,20.08,1,0,
100.300301,1.2,34.48,9619,5,5,0,120.36,1,0,
100.360359,0.6,34.46,10289,5,5,0,60.22,1,0,
100.210213,0.4,34.46,9958,5,5,0,40.08,1,0,
100.270271,1.4,34.48,9299,5,5,0,140.38,1,0,
100.300301,0.4,34.48,10627,5,5,0,40.12,1,0,
100.360359,0.8,34.46,10186,5,5,0,80.29,1,0,
100.210213,1,34.4,9608,5,5,0,100.21,1,0,
100.390396,0.4,34.4,10222,5,5,0,40.16,1,0,
100.270271,1.4,34.48,10257,5,5,0,140.38,1,0,
100.450455,0.6,34.43,9809,5,5,0,60.27,1,0,
100.300301,0.6,34.37,10251,5,5,0,60.18,1,0,
100.300301,1.4,34.48,10467,5,5,0,140.42,1,0,
100.360359,0.4,34.46,9765,5,5,0,40.14,1,0,
100.270271,1,34.46,9902,5,5,0,100.27,1,0,
100.270271,0.8,34.35,10493,5,5,0,80.22,1,0,
100.210213,0.2,34.43,10318,5,5,0,20.04,1,0,
100.390396,1,34.43,9766,5,5,0,100.39,1,0,
100.240242,0.4,34.4,9961,5,5,0,40.1,1,0,
100.360359,0.4,34.37,10476,5,5,0,40.14,1,0,
100.240242,1.2,34.4,10368,5,5,0,120.29,1,0,
100.240242,0.4,34.37,9417,5,5,0,40.1,1,0,
100.480484,1,34.4,10064,5,5,0,100.48,1,0,
100.33033,0.6,34.4,10456,5,5,0,60.2,1,0,
100.390396,0.6,34.43,10406,5,5,0,60.23,1,0,
100.33033,1.2,34.54,9787,5,5,0,120.4,1,0,
100.180183,0.6,34.48,9923,5,5,0,60.11,1,0,
100.360359,0.4,34.48,10625,5,5,0,40.14,1,0,
100.270271,1,34.4,10243,5,5,0,100.27,1,0,
100.060066,0.2,34.4,9802,5,5,0,20.01,1,0,
100.480484,1.2,34.43,9928,5,5,0,120.58,1,0,
100.240242,0.6,34.37,10353,5,5,0,60.14,1,0,
100.33033,0.6,34.43,10154,5,5,0,60.2,1,0,
100.120125,1.6,34.48,9704,5,5,0,160.19,1,0,
100.360359,0.4,34.48,9744,5,5,0,40.14,1,0,
100.33033,0.8,34.43,10235,5,5,0,80.26,1,0,
100.300301,1,34.35,10365,5,5,0,100.3,1,0,
100.270271,0.2,34.4,9854,5,5,0,20.05,1,0,
100.480484,1,34.57,9889,5,5,0,100.48,1,0,
100.270271,0.6,34.51,10114,5,5,0,60.16,1,0,
100.480484,0.2,34.46,10425,5,5,0,20.1,1,0,
100.360359,0.8,34.46,10200,5,5,0,80.29,1,0,
100.390396,0,34.43,10070,5,5,0,0,1,0,
100.120125,0.8,34.46,10011,5,5,0,80.1,1,0,
100.390396,0.8,34.4,10641,5,5,0,80.31,1,0,
100.360359,0.2,34.43,9338,5,5,0,20.07,1,0,
100.180183,1,34.4,9851,5,5,0,100.18,1,0,
100.390396,0.4,34.46,9920,5,5,0,40.16,1,0,
100.300301,0.6,34.51,10365,5,5,0,60.18,1,0,
100.270271,1,34.43,10421,5,5,0,100.27,1,0,
100.480484,0,34.48,9913,5,5,0,0,1,0,
100.270271,0.8,34.54,9810,5,5,0,80.22,1,0,
100.210213,1,34.46,10112,5,5,0,100.21,1,0,
100.33033,0.2,34.48,10375,5,5,0,20.07,1,0,
100.33033,1,34.51,10228,5,5,0,100.33,1,0,
100.270271,0.6,34.48,9707,5,5,0,60.16,1,0,
100.420425,0.6,34.51,10095,5,5,0,60.25,1,0,
100.210213,1.4,34.48,10196,5,5,0,140.29,1,0,
100.390396,0.4,34.51,10020,5,5,0,40.16,1,0,
100.270271,1,34.54,9573,5,5,0,100.27,1,0,
100.210213,0.8,34.48,10018,5,5,0,80.17,1,0,
100.420425,0.4,34.48,10426,5,5,0,40.17,1,0,
100.390396,1,34.43,10261,5,5,0,100.39,1,0,
100.390396,0.6,34.46,9557,5,5,0,60.23,1,0,
100.120125,0.6,34.51,9995,5,5,0,60.07,1,0,
100.300301,1.2,34.43,10218,5,5,0,120.36,1,0,
100.390396,0,34.46,10279,5,5,0,0,1,0,
100.33033,0.8,34.51,9704,5,5,0,80.26,1,0,
100.210213,0.8,34.46,10122,5,5,0,80.17,1,0,
100.480484,0.4,34.43,10418,5,5,0,40.19,1,0,
100.600601,1.2,34.46,9932,5,5,0,120.72,1,0,
100.33033,0.4,34.48,9714,5,5,0,40.13,1,0,
100.180183,0.6,34.51,9894,5,5,0,60.11,1,0,
100.450455,1,34.48,10199,5,5,0,100.45,1,0,
100.360359,0.2,34.51,9190,5,5,0,20.07,1,0,
100.33033,1,34.54,9873,5,5,0,100.33,1,0,
100.420425,1,34.48,10403,5,5,0,100.42,1,0,
100.450455,0.4,34.48,10049,5,5,0,40.18,1,0,
100.150154,1.6,34.51,9834,5,5,0,160.24,1,0,
100.390396,0.2,34.51,10457,5,5,0,20.08,1,0,
100.240242,0.8,34.48,9473,5,5,0,80.19,1,0,
100.300301,1.2,34.46,9174,5,5,0,120.36,1,0,
100.300301,0.2,34.46,10105,5,5,0,20.06,1,0,
100.360359,1.2,34.43,10447,5,5,0,120.43,1,0,
100.390396,0.4,34.48,9875,5,5,0,40.16,1,0,
100.270271,0.6,34.51,10012,5,5,0,60.16,1,0,
100.300301,1.2,34.46,10530,5,5,0,120.36,1,0,
100.420425,0,34.43,9907,5,5,0,0,1,0,
100.33033,0.8,34.4,9785,5,5,0,80.26,1,0,
100.210213,0.8,34.46,10500,5,5,0,80.17,1,0,
100.33033,0.2,34.46,10108,5,5,0,20.07,1,0,
100.33033,1.2,34.43,9848,5,5,0,120.4,1,0,
100.300301,0.2,34.46,10270,5,5,0,20.06,1,0,
100.390396,0.6,34.48,10035,5,5,0,60.23,1,0,
100.270271,1.2,34.48,9321,5,5,0,120.32,1,0,
100.270271,0,34.46,9728,5,5,0,0,1,0,
100.33033,0.8,34.51,11325,5,5,0,80.26,1,0,
100.360359,1,34.57,9639,5,5,0,100.36,1,0,
100.120125,0.4,34.65,10214,5,5,0,40.05,1,0,
100.360359,1.2,34.51,10239,5,5,0,120.43,1,0,
100.450455,0.4,34.48,9541,5,5,0,40.18,1,0,
100.390396,0.6,34.51,10110,5,5,0,60.23,1,0,
100.180183,1.4,34.46,10405,5,5,0,140.25,1,0,
100.450455,0.2,34.48,9709,5,5,0,20.09,1,0,
100.300301,0.8,34.57,10099,5,5,0,80.24,1,0,
100.33033,1,34.51,10445,5,5,0,100.33,1,0,
100.300301,0.4,34.51,9896,5,5,0,40.12,1,0,
100.300301,1,34.51,10218,5,5,0,100.3,1,0,
100.33033,0.6,34.54,9918,5,5,0,60.2,1,0,
100.390396,0.6,34.54,9677,5,5,0,60.23,1,0,
100.270271,0.4,34.51,9891,5,5,0,40.11,1,0,
100.210213,0.6,34.57,10443,5,5,0,60.13,1,0,
100.210213,0.8,34.46,9695,5,5,0,80.17,1,0,
100.270271,0.4,34.51,9875,5,5,0,40.11,1,0,
100.33033,0.4,34.46,10426,5,5,0,40.13,1,0,
100.300301,1.4,34.51,10031,5,5,0,140.42,1,0,
100.33033,0.2,34.46,10063,5,5,0,20.07,1,0,
100.390396,0.8,34.51,10196,5,5,0,80.31,1,0,
100.270271,1,34.54,9733,5,5,0,100.27,1,0,
100.390396,0,34.6,10207,5,5,0,0,1,0,
100.210213,0.6,34.54,10457,5,5,0,60.13,1,0,
100.33033,0.6,34.54,9183,5,5,0,60.2,1,0,
100.300301,0.8,34.57,10274,5,5,0,80.24,1,0,
100.390396,1,34.62,10234,5,5,0,100.39,1,0,
100.210213,0.4,34.6,9748,5,5,0,40.08,1,0,
100.360359,0.8,34.62,10055,5,5,0,80.29,1,0,
100.300301,1,34.6,9973,5,5,0,100.3,1,0,
100.480484,0,34.48,9937,5,5,0,0,1,0,
