Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 268275065
99.939941,-0.4,34.82,443,2,2,0,-39.98,1,0,
99.939941,1.6,34.73,1981,4,2,0,159.9,1,0,
99.849854,0,34.76,923,4,2,0,0,1,0,
100,0.4,34.76,2648,5,2,0,40,1,0,
99.759766,0.2,34.79,3240,5,2,0,19.95,1,0,
99.939941,-0.2,34.73,2595,5,3,0,-19.99,1,0,
99.819824,0.2,34.71,2730,5,3,0,19.96,1,0,
100.030029,0,34.84,2852,5,3,0,0,1,0,
99.729729,0,34.87,3088,5,3,0,0,1,0,
99.909912,0.4,34.84,3595,5,3,0,39.96,1,0,
99.819824,0.4,34.79,3981,5,5,0,39.93,1,0,
100.030029,0.8,34.76,4290,5,5,0,80.02,1,0,
99.939941,0.2,34.79,4905,5,5,0,19.99,1,0,
100,0,34.9,5053,5,5,0,0,1,0,
99.909912,0.6,34.76,5378,5,5,0,59.95,1,0,
99.789795,0,34.82,5027,5,5,0,0,1,0,
100.030029,0.4,34.87,5755,5,5,0,40.01,1,0,
99.819824,0.8,34.82,5800,5,5,0,79.86,1,0,
100.090096,-0.2,34.82,5735,5,5,0,-20.02,1,0,
99.699699,0.8,34.82,6503,5,5,0,79.76,1,0,
99.879883,0.4,34.79,6368,5,5,0,39.95,1,0,
99.969971,0.2,34.84,6278,5,5,0,19.99,1,0,
100.060066,0.4,34.76,7647,5,5,0,40.02,1,0,
99.879883,0,34.73,7020,5,5,0,0,1,0,
99.909912,0.2,34.76,6731,5,5,0,19.98,1,0,
99.909912,0.8,34.79,7137,5,5,0,79.93,1,0,
99.879883,0,34.73,7343,5,5,0,0,1,0,
100,0.4,34.76,7144,5,5,0,40,1,0,
99.699699,0.2,34.79,7547,5,5,0,19.94,1,0,
100.060066,0,34.76,9057,5,5,0,0,1,0,
99.729729,0.6,34.73,7943,5,5,0,59.84,1,0,
99.969971,0,34.79,7690,5,5,0,0,1,0,
99.819824,0.2,34.79,8168,5,5,0,19.96,1,0,
100,0.8,34.82,8737,5,5,0,80,1,0,
99.789795,0,34.9,8420,5,5,0,0,1,0,
99.969971,0.6,34.76,7909,5,5,0,59.98,1,0,
99.789795,0.4,34.84,8705,5,5,0,39.92,1,0,
100,0.2,34.82,8357,5,5,0,20,1,0,
99.969971,0.8,34.79,8190,5,5,0,79.98,1,0,
