Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 3531369439
100.720726,0.6,33.52,779,2,2,0,60.43,1,0,
100.810814,2.4,33.39,1914,3,2,0,241.95,1,0,
100.780785,1,33.39,1953,4,2,0,100.78,1,0,
100.720726,0.4,33.41,1904,5,2,0,40.29,1,0,
100.870872,0.8,33.47,2022,5,2,0,80.7,1,0,
100.96096,0.2,33.44,2497,5,3,0,20.19,1,0,
100.720726,0.4,33.44,2745,5,3,0,40.29,1,0,
100.66066,1.2,33.5,3241,5,3,0,120.79,1,0,
100.810814,0.2,33.5,3022,5,3,0,20.16,1,0,
100.750755,0.4,33.5,3429,5,3,0,40.3,1,0,
100.720726,1.8,33.47,3942,5,5,0,181.3,1,0,
100.96096,1,33.55,4395,5,5,0,100.96,1,0,
100.810814,1.4,33.5,4616,5,5,0,141.14,1,0,
100.540543,1,33.5,5496,5,5,0,100.54,1,0,
100.780785,1,33.52,5050,5,5,0,100.78,1,0,
100.750755,1,33.52,5404,5,5,0,100.75,1,0,
100.690697,0.4,33.52,5418,5,5,0,40.28,1,0,
100.750755,0.8,33.52,5899,5,5,0,80.6,1,0,
100.900902,1,33.5,6321,5,5,0,100.9,1,0,
100.840843,0.2,33.5,6113,5,5,0,20.17,1,0,
100.720726,1,33.52,6546,5,5,0,100.72,1,0,
100.720726,0.6,33.47,6589,5,5,0,60.43,1,0,
100.840843,0.6,33.44,6730,5,5,0,60.5,1,0,
100.750755,1.2,33.5,7787,5,5,0,120.9,1,0,
100.690697,0.4,33.52,6959,5,5,0,40.28,1,0,
100.750755,1,33.44,6630,5,5,0,100.75,1,0,
100.780785,1.2,33.47,8414,5,5,0,120.94,1,0,
100.840843,0.4,33.47,7643,5,5,0,40.34,1,0,
100.870872,0.6,33.47,7843,5,5,0,60.52,1,0,
100.570572,0.8,33.52,7543,5,5,0,80.46,1,0,
100.810814,0.6,33.52,7715,5,5,0,60.49,1,0,
100.720726,1,33.5,8101,5,5,0,100.72,1,0,
100.870872,0.2,33.5,8388,5,5,0,20.17,1,0,
100.540543,1.2,33.52,8177,5,5,0,120.65,1,0,
100.750755,0.6,33.52,7229,5,5,0,60.45,1,0,
100.690697,0.4,33.55,8365,5,5,0,40.28,1,0,
100.840843,1.2,33.52,8415,5,5,0,121.01,1,0,
100.690697,0.2,33.47,7951,5,5,0,20.14,1,0,
100.870872,1,33.5,8536,5,5,0,100.87,1,0,
100.750755,1,33.5,8961,5,5,0,100.75,1,0,
100.750755,0.2,33.52,8756,5,5,0,20.15,1,0,
100.750755,1.2,33.5,8877,5,5,0,120.9,1,0,
100.780785,0.6,33.52,8533,5,5,0,60.47,1,0,
100.780785,0.4,33.5,9259,5,5,0,40.31,1,0,
100.720726,1,33.5,9142,5,5,0,100.72,1,0,
100.720726,0.4,33.52,8943,5,5,0,40.29,1,0,
100.720726,0.8,33.55,8787,5,5,0,80.58,1,0,
100.720726,0.8,33.52,9098,5,5,0,80.58,1,0,
100.870872,0.4,33.44,9748,5,5,0,40.35,1,0,
100.63063,1.2,33.61,8946,5,5,0,120.76,1,0,
100.63063,0.8,33.55,9381,5,5,0,80.5,1,0,
100.840843,0.6,33.52,9140,5,5,0,60.5,1,0,
100.810814,1.2,33.58,8975,5,5,0,120.97,1,0,
100.540543,0.4,33.55,9349,5,5,0,40.22,1,0,
100.750755,0.8,33.61,9168,5,5,0,80.6,1,0,
100.780785,0.8,33.5,9460,5,5,0,80.62,1,0,
100.840843,0.2,33.55,9468,5,5,0,20.17,1,0,
100.690697,1,33.5,9555,5,5,0,100.69,1,0,
100.900902,0.4,33.5,9337,5,5,0,40.36,1,0,
100.570572,0.6,33.5,9306,5,5,0,60.34,1,0,
100.810814,1.2,33.55,10234,5,5,0,120.97,1,0,
100.720726,0.6,33.55,10074,5,5,0,60.43,1,0,
100.870872,0.8,33.52,9992,5,5,0,80.7,1,0,
100.930931,0.6,33.52,9563,5,5,0,60.56,1,0,
100.870872,0.2,33.47,9020,5,5,0,20.17,1,0,
100.780785,0.8,33.5,9363,5,5,0,80.62,1,0,
100.810814,0.8,33.52,9432,5,5,0,80.65,1,0,
100.750755,0.2,33.47,8987,5,5,0,20.15,1,0,
100.750755,1.2,33.39,10267,5,5,0,120.9,1,0,
100.840843,0.2,33.47,9451,5,5,0,20.17,1,0,
100.780785,0.8,33.47,10653,5,5,0,80.62,1,0,
100.720726,0.8,33.44,10111,5,5,0,80.58,1,0,
100.840843,0.2,33.61,10473,5,5,0,20.17,1,0,
100.690697,1,33.58,9975,5,5,0,100.69,1,0,
100.810814,0,33.5,10308,5,5,0,0,1,0,
100.780785,0,33.63,9517,5,5,0,0,1,0,
100.570572,1.4,33.55,10312,5,5,0,140.8,1,0,
100.870872,0.6,33.5,10027,5,5,0,60.52,1,0,
100.930931,1,33.5,9832,5,5,0,100.93,1,0,
100.600601,0.6,33.52,10290,5,5,0,60.36,1,0,
100.63063,0.4,33.52,9738,5,5,0,40.25,1,0,
101.231232,1.2,33.52,9975,5,5,0,121.48,1,0,
100.870872,0.4,33.5,10577,5,5,0,40.35,1,0,
100.690697,0.2,33.5,9954,5,5,0,20.14,1,0,
100.750755,1.2,33.5,9719,5,5,0,120.9,1,0,
100.63063,0.2,33.52,10474,5,5,0,20.13,1,0,
100.96096,1,33.5,10004,5,5,0,100.96,1,0,
100.810814,0.4,33.52,9679,5,5,0,40.32,1,0,
100.930931,0.6,33.52,10288,5,5,0,60.56,1,0,
100.690697,0.8,33.41,10344,5,5,0,80.55,1,0,
100.840843,0.4,33.47,10226,5,5,0,40.34,1,0,
100.840843,0.4,33.52,9634,5,5,0,40.34,1,0,
100.870872,0.8,33.5,9895,5,5,0,80.7,1,0,
100.840843,0.2,33.44,10428,5,5,0,20.17,1,0,
100.930931,0.4,33.5,10553,5,5,0,40.37,1,0,
100.840843,0.4,33.5,10208,5,5,0,40.34,1,0,
100.780785,0.4,33.52,9633,5,5,0,40.31,1,0,
100.900902,0.6,33.52,10025,5,5,0,60.54,1,0,
101.141144,0.2,33.55,10042,5,5,0,20.23,1,0,
100.840843,0.8,33.5,10345,5,5,0,80.67,1,0,
100.720726,0.8,33.47,10445,5,5,0,80.58,1,0,
100.930931,0.2,33.52,10278,5,5,0,20.19,1,0,
101.021027,1,33.52,10333,5,5,0,101.02,1,0,
100.810814,0.8,33.52,9870,5,5,0,80.65,1,0,
100.810814,1,33.55,10013,5,5,0,100.81,1,0,
100.99099,1,33.55,10071,5,5,0,100.99,1,0,
100.66066,0.2,33.58,10463,5,5,0,20.13,1,0,
100.750755,0.8,33.5,10337,5,5,0,80.6,1,0,
100.810814,0.8,33.58,10440,5,5,0,80.65,1,0,
100.810814,0.6,33.58,10375,5,5,0,60.49,1,0,
100.810814,0.6,33.5,10556,5,5,0,60.49,1,0,
100.810814,0.6,33.5,10046,5,5,0,60.49,1,0,
100.840843,0.6,33.55,9576,5,5,0,60.5,1,0,
100.66066,0.8,33.47,9742,5,5,0,80.53,1,0,
101.081085,0,33.52,10027,5,5,0,0,1,0,
100.600601,1,33.55,10060,5,5,0,100.6,1,0,
100.750755,0.8,33.5,10306,5,5,0,80.6,1,0,
100.840843,0.6,33.52,10936,5,5,0,60.5,1,0,
100.780785,0.8,33.61,10417,5,5,0,80.62,1,0,
100.690697,0.8,33.52,10691,5,5,0,80.55,1,0,
100.540543,1,33.63,10418,5,5,0,100.54,1,0,
100.870872,0.8,33.58,10044,5,5,0,80.7,1,0,
100.750755,0,33.61,10347,5,5,0,0,1,0,
100.720726,1,33.58,9742,5,5,0,100.72,1,0,
100.810814,0.8,33.61,9702,5,5,0,80.65,1,0,
100.930931,0.4,33.55,10201,5,5,0,40.37,1,0,
100.930931,1,33.5,10073,5,5,0,100.93,1,0,
100.870872,0.8,33.52,10313,5,5,0,80.7,1,0,
100.870872,1,33.52,10238,5,5,0,100.87,1,0,
100.810814,1.2,33.52,10781,5,5,0,120.97,1,0,
100.66066,0.4,33.55,10590,5,5,0,40.26,1,0,
100.780785,1,33.58,10352,5,5,0,100.78,1,0,
100.510513,0.6,33.52,10415,5,5,0,60.31,1,0,
100.810814,0.6,33.61,10087,5,5,0,60.49,1,0,
100.780785,0.4,33.52,10026,5,5,0,40.31,1,0,
100.810814,0.2,33.58,10312,5,5,0,20.16,1,0,
100.510513,0.8,33.66,10085,5,5,0,80.41,1,0,
100.810814,0.6,33.55,10271,5,5,0,60.49,1,0,
100.870872,0.2,33.58,10245,5,5,0,20.17,1,0,
100.930931,0.8,33.61,9849,5,5,0,80.74,1,0,
100.720726,0.4,33.47,9995,5,5,0,40.29,1,0,
100.750755,0.6,33.55,10050,5,5,0,60.45,1,0,
100.720726,0.6,33.61,10152,5,5,0,60.43,1,0,
100.780785,0.2,33.58,10417,5,5,0,20.16,1,0,
100.840843,1,33.52,10428,5,5,0,100.84,1,0,
100.780785,1.2,33.55,10560,5,5,0,120.94,1,0,
100.810814,0.2,33.55,10588,5,5,0,20.16,1,0,
100.810814,1,33.47,10319,5,5,0,100.81,1,0,
100.720726,0.4,33.5,10417,5,5,0,40.29,1,0,
100.63063,0.8,33.61,10285,5,5,0,80.5,1,0,
100.870872,1.2,33.58,10601,5,5,0,121.05,1,0,
100.900902,0.4,33.55,10207,5,5,0,40.36,1,0,
100.750755,1.2,33.58,9710,5,5,0,120.9,1,0,
100.66066,1,33.55,9732,5,5,0,100.66,1,0,
100.930931,0.6,33.63,9592,5,5,0,60.56,1,0,
100.840843,1.2,33.58,9839,5,5,0,121.01,1,0,
100.930931,0.6,33.61,9785,5,5,0,60.56,1,0,
100.840843,0.4,33.58,9886,5,5,0,40.34,1,0,
100.810814,1.2,33.5,10048,5,5,0,120.97,1,0,
100.870872,0.2,33.58,10143,5,5,0,20.17,1,0,
100.720726,0.6,33.52,10444,5,5,0,60.43,1,0,
100.840843,0,33.55,10359,5,5,0,0,1,0,
100.540543,0.4,33.66,10610,5,5,0,40.22,1,0,
100.840843,0.8,33.55,10604,5,5,0,80.67,1,0,
100.66066,0,33.63,10652,5,5,0,0,1,0,
100.870872,0.4,33.58,10441,5,5,0,40.35,1,0,
100.66066,0.8,33.55,10668,5,5,0,80.53,1,0,
100.930931,0.2,33.58,10473,5,5,0,20.19,1,0,
100.840843,1.2,33.61,9851,5,5,0,121.01,1,0,
100.810814,0.4,33.55,9720,5,5,0,40.32,1,0,
100.780785,0.6,33.61,9823,5,5,0,60.47,1,0,
100.810814,1.4,33.66,9882,5,5,0,141.14,1,0,
100.690697,0.4,33.58,10222,5,5,0,40.28,1,0,
100.780785,0.6,33.58,10232,5,5,0,60.47,1,0,
100.810814,1,33.63,10350,5,5,0,100.81,1,0,
100.690697,0.2,33.61,10294,5,5,0,20.14,1,0,
100.810814,1,33.61,10646,5,5,0,100.81,1,0,
100.690697,0.2,33.61,10647,5,5,0,20.14,1,0,
100.810814,0.4,33.58,10347,5,5,0,40.32,1,0,
100.690697,1,33.61,10308,5,5,0,100.69,1,0,
100.900902,0.4,33.63,9935,5,5,0,40.36,1,0,
100.870872,0.8,33.63,10127,5,5,0,80.7,1,0,
100.900902,1,33.63,9818,5,5,0,100.9,1,0,
100.870872,0.6,33.61,9650,5,5,0,60.52,1,0,
100.750755,1.4,33.66,9849,5,5,0,141.05,1,0,
100.750755,0.2,33.66,10026,5,5,0,20.15,1,0,
100.840843,0.8,33.69,10008,5,5,0,80.67,1,0,
