Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 160706395
101.081085,0.4,27.33,733,2,2,0,40.43,1,0,
100.96096,2.6,27.43,1876,4,2,0,262.5,1,0,
101.021027,0.8,27.41,1003,4,2,0,80.82,1,0,
100.900902,0.8,27.38,3006,5,2,0,80.72,1,0,
101.021027,0.2,27.41,2554,5,2,0,20.2,1,0,
101.021027,0.8,27.38,2600,5,3,0,80.82,1,0,
101.111115,0.6,27.25,2791,5,3,0,60.67,1,0,
100.99099,0.4,27.28,3378,5,3,0,40.4,1,0,
101.201202,0.2,27.33,3257,5,3,0,20.24,1,0,
101.111115,0.2,27.33,3358,5,3,0,20.22,1,0,
101.201202,1.4,27.33,4077,5,5,0,141.68,1,0,
100.930931,1.6,27.33,4831,5,5,0,161.49,1,0,
101.081085,0,27.36,5219,5,5,0,0,1,0,
101.141144,1.2,27.41,4704,5,5,0,121.37,1,0,
100.99099,1,27.43,5271,5,5,0,100.99,1,0,
101.021027,0.4,27.46,5591,5,5,0,40.41,1,0,
101.261261,1,27.38,6080,5,5,0,101.26,1,0,
101.081085,0.6,27.36,6072,5,5,0,60.65,1,0,
101.081085,1,27.38,6637,5,5,0,101.08,1,0,
101.201202,1,27.33,6240,5,5,0,101.2,1,0,
101.141144,0.4,27.38,6347,5,5,0,40.46,1,0,
100.96096,1,27.41,7363,5,5,0,100.96,1,0,
101.021027,1.4,27.33,6362,5,5,0,141.43,1,0,
101.141144,0.2,27.36,6810,5,5,0,20.23,1,0,
101.171173,1.2,27.36,6857,5,5,0,121.41,1,0,
101.081085,0.2,27.38,6857,5,5,0,20.22,1,0,
101.051056,0.6,27.41,7880,5,5,0,60.63,1,0,
101.051056,0.8,27.28,7213,5,5,0,80.84,1,0,
101.051056,0,27.31,7653,5,5,0,0,1,0,
101.081085,1,27.33,8253,5,5,0,101.08,1,0,
100.96096,0.8,27.33,9122,5,5,0,80.77,1,0,
101.081085,0.8,27.36,8285,5,5,0,80.86,1,0,
100.96096,0.4,27.33,7905,5,5,0,40.38,1,0,
101.081085,0.8,27.33,7881,5,5,0,80.86,1,0,
101.081085,0.4,27.46,8340,5,5,0,40.43,1,0,
101.081085,0.8,27.36,8088,5,5,0,80.86,1,0,
100.99099,0,27.41,8197,5,5,0,0,1,0,
101.111115,1,27.33,8821,5,5,0,101.11,1,0,
101.021027,1,27.41,8314,5,5,0,101.02,1,0,
100.870872,1,27.43,8840,5,5,0,100.87,1,0,
100.99099,0.2,27.41,7772,5,5,0,20.2,1,0,
100.96096,1,27.36,8876,5,5,0,100.96,1,0,
101.081085,1,27.41,9360,5,5,0,101.08,1,0,
100.99099,0.8,27.36,9011,5,5,0,80.79,1,0,
101.111115,0.2,27.36,8576,5,5,0,20.22,1,0,
100.99099,1.6,27.36,9180,5,5,0,161.59,1,0,
101.051056,0.6,27.36,9084,5,5,0,60.63,1,0,
101.261261,0.8,27.38,9351,5,5,0,81.01,1,0,
100.900902,1,27.33,9102,5,5,0,100.9,1,0,
101.171173,0,27.36,9154,5,5,0,0,1,0,
101.111115,1,27.38,8784,5,5,0,101.11,1,0,
101.021027,1.4,27.38,9138,5,5,0,141.43,1,0,
100.96096,0,27.33,9124,5,5,0,0,1,0,
101.111115,1.2,27.31,9351,5,5,0,121.33,1,0,
100.930931,1.2,27.38,9379,5,5,0,121.12,1,0,
101.381386,0.4,27.41,9722,5,5,0,40.55,1,0,
100.96096,1.2,27.36,8864,5,5,0,121.15,1,0,
101.171173,0.6,27.33,9304,5,5,0,60.7,1,0,
100.840843,0.8,27.38,8874,5,5,0,80.67,1,0,
101.171173,0.4,27.31,10058,5,5,0,40.47,1,0,
101.111115,0.4,27.36,9641,5,5,0,40.44,1,0,
100.930931,0.8,27.38,9816,5,5,0,80.74,1,0,
100.900902,0.6,27.43,9545,5,5,0,60.54,1,0,
101.021027,0.8,27.46,9417,5,5,0,80.82,1,0,
100.930931,1,27.36,9010,5,5,0,100.93,1,0,
101.261261,0.2,27.41,9535,5,5,0,20.25,1,0,
101.111115,1,27.38,10044,5,5,0,101.11,1,0,
101.051056,0.8,27.41,9314,5,5,0,80.84,1,0,
101.111115,0.8,27.46,8856,5,5,0,80.89,1,0,
101.141144,0.8,27.38,11765,5,5,0,80.91,1,0,
100.99099,0.4,27.33,9868,5,5,0,40.4,1,0,
100.96096,0.8,27.43,8817,5,5,0,80.77,1,0,
100.930931,0.8,27.36,10515,5,5,0,80.74,1,0,
101.141144,0.4,27.36,9225,5,5,0,40.46,1,0,
101.081085,1.2,27.33,10399,5,5,0,121.3,1,0,
100.99099,-0.2,27.36,9887,5,5,0,-20.2,1,0,
101.201202,0.4,27.38,9876,5,5,0,40.48,1,0,
101.29129,0.8,27.43,9873,5,5,0,81.03,1,0,
100.96096,0.6,27.43,10219,5,5,0,60.58,1,0,
101.111115,0,27.41,9758,5,5,0,0,1,0,
100.930931,0.8,27.38,9919,5,5,0,80.74,1,0,
101.021027,0.6,27.38,9737,5,5,0,60.61,1,0,
101.081085,1.2,27.36,10285,5,5,0,121.3,1,0,
101.171173,-0.2,27.33,9303,5,5,0,-20.23,1,0,
100.750755,0.8,27.43,10056,5,5,0,80.6,1,0,
100.930931,1.6,27.41,10047,5,5,0,161.49,1,0,
101.021027,0.4,27.38,10052,5,5,0,40.41,1,0,
100.930931,-0.2,27.41,10076,5,5,0,-20.19,1,0,
100.840843,1,27.38,9497,5,5,0,100.84,1,0,
101.111115,0.6,27.46,9785,5,5,0,60.67,1,0,
101.051056,1,27.36,9898,5,5,0,101.05,1,0,
100.96096,0,27.36,9937,5,5,0,0,1,0,
101.081085,0.6,27.43,10215,5,5,0,60.65,1,0,
100.99099,1.4,27.38,10079,5,5,0,141.39,1,0,
101.111115,0.4,27.38,10110,5,5,0,40.44,1,0,
100.930931,0.4,27.46,9938,5,5,0,40.37,1,0,
101.261261,1,27.36,9447,5,5,0,101.26,1,0,
101.141144,0,27.38,10121,5,5,0,0,1,0,
101.171173,1.2,27.36,10298,5,5,0,121.41,1,0,
100.900902,0.6,27.43,8851,5,5,0,60.54,1,0,
101.081085,0.6,27.43,10047,5,5,0,60.65,1,0,
101.021027,1,27.41,10712,5,5,0,101.02,1,0,
101.051056,0.2,27.41,9796,5,5,0,20.21,1,0,
100.840843,0.8,27.46,9707,5,5,0,80.67,1,0,
101.081085,1.4,27.46,10381,5,5,0,141.51,1,0,
101.261261,0.4,27.41,9980,5,5,0,40.5,1,0,
101.141144,1.2,27.36,9470,5,5,0,121.37,1,0,
100.96096,0.8,27.41,10198,5,5,0,80.77,1,0,
101.081085,0.6,27.43,10231,5,5,0,60.65,1,0,
101.081085,1,27.38,9872,5,5,0,101.08,1,0,
101.141144,0,27.38,10020,5,5,0,0,1,0,
101.051056,1,27.38,10548,5,5,0,101.05,1,0,
101.051056,1.2,27.43,10076,5,5,0,121.26,1,0,
100.99099,0.6,27.48,9860,5,5,0,60.59,1,0,
100.930931,0.8,27.41,10309,5,5,0,80.74,1,0,
100.99099,0.6,27.41,10482,5,5,0,60.59,1,0,
101.021027,0.6,27.43,9432,5,5,0,60.61,1,0,
101.051056,0.6,27.38,9804,5,5,0,60.63,1,0,
101.111115,-0.2,27.43,10368,5,5,0,-20.22,1,0,
100.840843,0.6,27.38,10164,5,5,0,60.5,1,0,
101.081085,0.8,27.41,9602,5,5,0,80.86,1,0,
101.021027,0.2,27.51,10139,5,5,0,20.2,1,0,
101.171173,0.8,27.48,10479,5,5,0,80.94,1,0,
101.111115,0.4,27.41,10075,5,5,0,40.44,1,0,
101.111115,0.6,27.46,9797,5,5,0,60.67,1,0,
100.900902,0.6,27.48,10460,5,5,0,60.54,1,0,
101.171173,0,27.41,10446,5,5,0,0,1,0,
100.840843,1.2,27.41,9862,5,5,0,121.01,1,0,
101.051056,0.8,27.36,9819,5,5,0,80.84,1,0,
101.051056,0.6,27.46,10672,5,5,0,60.63,1,0,
101.111115,1.2,27.43,10279,5,5,0,121.33,1,0,
101.021027,0.8,27.43,9865,5,5,0,80.82,1,0,
100.99099,1,27.43,9640,5,5,0,100.99,1,0,
100.96096,1,27.46,10674,5,5,0,100.96,1,0,
101.081085,0,27.51,10528,5,5,0,0,1,0,
101.081085,1,27.54,9651,5,5,0,101.08,1,0,
100.930931,0.8,27.46,9808,5,5,0,80.74,1,0,
101.141144,0.4,27.51,10638,5,5,0,40.46,1,0,
101.081085,0.6,27.43,10377,5,5,0,60.65,1,0,
101.111115,0.2,27.43,9695,5,5,0,20.22,1,0,
100.930931,0.8,27.41,9847,5,5,0,80.74,1,0,
100.900902,0.8,27.48,10335,5,5,0,80.72,1,0,
101.201202,0.4,27.56,10341,5,5,0,40.48,1,0,
101.051056,1,27.54,10126,5,5,0,101.05,1,0,
101.051056,0.6,27.43,9676,5,5,0,60.63,1,0,
101.051056,0.8,27.51,10139,5,5,0,80.84,1,0,
101.021027,0.4,27.48,10521,5,5,0,40.41,1,0,
100.96096,0.4,27.54,10380,5,5,0,40.38,1,0,
100.99099,0.6,27.46,9650,5,5,0,60.59,1,0,
100.930931,1,27.48,9894,5,5,0,100.93,1,0,
101.111115,0.4,27.51,10370,5,5,0,40.44,1,0,
100.96096,1,27.46,10417,5,5,0,100.96,1,0,
101.111115,0.4,27.48,9845,5,5,0,40.44,1,0,
100.900902,0.6,27.46,9648,5,5,0,60.54,1,0,
100.930931,0.6,27.48,10343,5,5,0,60.56,1,0,
100.99099,0,27.51,10662,5,5,0,0,1,0,
101.111115,0.6,27.43,10403,5,5,0,60.67,1,0,
100.99099,1.2,27.48,10806,5,5,0,121.19,1,0,
101.231232,0.6,27.51,9778,5,5,0,60.74,1,0,
100.99099,0.8,27.43,10086,5,5,0,80.79,1,0,
101.201202,0.6,27.41,10470,5,5,0,60.72,1,0,
101.051056,0.8,27.43,10442,5,5,0,80.84,1,0,
101.081085,0.8,27.48,9953,5,5,0,80.86,1,0,
101.081085,0,27.51,9626,5,5,0,0,1,0,
101.261261,0.6,27.59,10421,5,5,0,60.76,1,0,
100.99099,0.4,27.46,10693,5,5,0,40.4,1,0,
100.930931,0.8,27.54,10546,5,5,0,80.74,1,0,
100.99099,1,27.54,9874,5,5,0,100.99,1,0,
101.141144,0.6,27.43,9912,5,5,0,60.68,1,0,
101.111115,0.6,27.46,9802,5,5,0,60.67,1,0,
100.96096,1.2,27.48,10350,5,5,0,121.15,1,0,
101.021027,0.2,27.56,10515,5,5,0,20.2,1,0,
101.081085,1.2,27.46,10293,5,5,0,121.3,1,0,
101.081085,0,27.51,10388,5,5,0,0,1,0,
101.141144,1,27.54,9745,5,5,0,101.14,1,0,
101.171173,1,27.43,10031,5,5,0,101.17,1,0,
101.171173,0.2,27.43,10462,5,5,0,20.23,1,0,
101.051056,0.4,27.54,10411,5,5,0,40.42,1,0,
101.081085,0.4,27.48,10308,5,5,0,40.43,1,0,
100.96096,0.2,27.54,10226,5,5,0,20.19,1,0,
101.051056,0.8,27.54,9880,5,5,0,80.84,1,0,
100.870872,0,27.46,9919,5,5,0,0,1,0,
101.021027,0.8,27.48,10218,5,5,0,80.82,1,0,
101.021027,1,27.43,10531,5,5,0,101.02,1,0,
101.081085,0.6,27.51,10749,5,5,0,60.65,1,0,
101.081085,0.8,27.61,10286,5,5,0,80.86,1,0,
101.081085,0.8,27.51,9730,5,5,0,80.86,1,0,
101.051056,0.6,27.61,10149,5,5,0,60.63,1,0,
101.201202,1.4,27.56,10049,5,5,0,141.68,1,0,
101.051056,-0.2,27.48,10083,5,5,0,-20.21,1,0,
101.021027,0.8,27.59,10768,5,5,0,80.82,1,0,
101.081085,1.2,27.54,10634,5,5,0,121.3,1,0,
101.171173,0.4,27.54,10037,5,5,0,40.47,1,0,
101.171173,0.6,27.54,9912,5,5,0,60.7,1,0,
101.021027,0.6,27.56,9822,5,5,0,60.61,1,0,
101.051056,0.6,27.61,9796,5,5,0,60.63,1,0,
100.810814,1.4,27.54,10430,5,5,0,141.14,1,0,
