Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 268275065
100.180183,0,27.28,313,2,2,0,0,1,0,
100.090096,0.2,27.25,1419,3,2,0,20.02,1,0,
100.180183,0.6,27.25,1986,4,2,0,60.11,1,0,
100.060066,1,27.31,1614,4,2,0,100.06,1,0,
100.210213,0.6,27.38,1829,5,2,0,60.13,1,0,
100.240242,0.8,27.38,2063,5,2,0,80.19,1,0,
100.180183,0.4,27.31,2725,5,3,0,40.07,1,0,
100.150154,0.2,27.33,2781,5,3,0,20.03,1,0,
100.210213,1,27.36,3275,5,3,0,100.21,1,0,
100.150154,0.4,27.31,3311,5,3,0,40.06,1,0,
100.120125,0.4,27.31,3588,5,3,0,40.05,1,0,
100.150154,2,27.25,3065,5,5,0,200.3,1,0,
100.090096,0.8,27.23,4609,5,5,0,80.07,1,0,
100.180183,0.8,27.31,4736,5,5,0,80.14,1,0,
100.240242,0.8,27.28,5436,5,5,0,80.19,1,0,
100.210213,0.4,27.28,5156,5,5,0,40.08,1,0,
100.090096,1,27.28,6534,5,5,0,100.09,1,0,
100.120125,0.8,27.25,5422,5,5,0,80.1,1,0,
100.510513,0.6,27.28,5744,5,5,0,60.31,1,0,
99.969971,1,27.28,5385,5,5,0,99.97,1,0,
100.180183,0.6,27.28,6280,5,5,0,60.11,1,0,
100.210213,1,27.31,6335,5,5,0,100.21,1,0,
100.120125,0.8,27.31,6847,5,5,0,80.1,1,0,
100.240242,0.2,27.31,6820,5,5,0,20.05,1,0,
100.210213,1.2,27.31,7209,5,5,0,120.25,1,0,
100.030029,1,27.28,6644,5,5,0,100.03,1,0,
100.300301,0.6,27.33,7012,5,5,0,60.18,1,0,
100.060066,1.4,27.25,6596,5,5,0,140.08,1,0,
100.33033,0.4,27.31,7391,5,5,0,40.13,1,0,
100.090096,0.8,27.28,7673,5,5,0,80.07,1,0,
100.150154,1,27.25,7528,5,5,0,100.15,1,0,
100.300301,0.4,27.28,7833,5,5,0,40.12,1,0,
100.210213,1,27.2,7585,5,5,0,100.21,1,0,
100.120125,0.4,27.23,7738,5,5,0,40.05,1,0,
100.360359,0.6,27.33,7593,5,5,0,60.22,1,0,
100.120125,1.2,27.31,7382,5,5,0,120.14,1,0,
100.240242,0.2,27.28,8200,5,5,0,20.05,1,0,
100.150154,0.8,27.38,8216,5,5,0,80.12,1,0,
100.180183,0.8,27.31,8369,5,5,0,80.14,1,0,
100.240242,0.4,27.31,8288,5,5,0,40.1,1,0,
100.270271,1,27.31,9186,5,5,0,100.27,1,0,
100.120125,0.4,27.31,8343,5,5,0,40.05,1,0,
100.120125,0.8,27.33,8232,5,5,0,80.1,1,0,
100.210213,1.2,27.31,8750,5,5,0,120.25,1,0,
100.150154,0.2,27.33,8695,5,5,0,20.03,1,0,
100.150154,1.2,27.36,8616,5,5,0,120.18,1,0,
100.210213,0.8,27.36,8815,5,5,0,80.17,1,0,
100.180183,0.4,27.36,8623,5,5,0,40.07,1,0,
100.180183,1,27.33,9668,5,5,0,100.18,1,0,
100.090096,0.4,27.28,9021,5,5,0,40.04,1,0,
100.210213,0.6,27.38,8540,5,5,0,60.13,1,0,
100.090096,1,27.25,9445,5,5,0,100.09,1,0,
100.450455,0.2,27.36,8559,5,5,0,20.09,1,0,
100.060066,1.2,27.33,9643,5,5,0,120.07,1,0,
100.210213,0.8,27.25,8616,5,5,0,80.17,1,0,
100.090096,0.6,27.38,9105,5,5,0,60.05,1,0,
100.150154,1,27.31,9765,5,5,0,100.15,1,0,
100.120125,0.4,27.33,9584,5,5,0,40.05,1,0,
100.270271,0.8,27.33,9440,5,5,0,80.22,1,0,
100.030029,1.2,27.31,9331,5,5,0,120.04,1,0,
100.300301,0.2,27.31,9963,5,5,0,20.06,1,0,
100.210213,1,27.28,9375,5,5,0,100.21,1,0,
100.180183,0.2,27.28,9438,5,5,0,20.04,1,0,
100.150154,0.6,27.33,8742,5,5,0,60.09,1,0,
100.090096,1.2,27.31,9421,5,5,0,120.11,1,0,
100.150154,0.2,27.31,8716,5,5,0,20.03,1,0,
100.360359,0.6,27.31,8931,5,5,0,60.22,1,0,
100.090096,0.8,27.36,9607,5,5,0,80.07,1,0,
100.060066,0.4,27.41,9415,5,5,0,40.02,1,0,
100.090096,1.4,27.38,9875,5,5,0,140.13,1,0,
100.270271,0.6,27.31,9558,5,5,0,60.16,1,0,
100.240242,0.6,27.36,10620,5,5,0,60.14,1,0,
100.180183,1.2,27.33,10179,5,5,0,120.22,1,0,
100.060066,0.6,27.33,9761,5,5,0,60.04,1,0,
100.150154,1,27.31,9832,5,5,0,100.15,1,0,
100.210213,0.8,27.28,9233,5,5,0,80.17,1,0,
100.270271,0,27.33,10133,5,5,0,0,1,0,
100.33033,1.2,27.33,10006,5,5,0,120.4,1,0,
100.210213,0.8,27.36,9752,5,5,0,80.17,1,0,
100.240242,0.6,27.43,9339,5,5,0,60.14,1,0,
100.33033,0.6,27.31,10211,5,5,0,60.2,1,0,
100.060066,0.6,27.36,10313,5,5,0,60.04,1,0,
100.120125,0.8,27.31,9948,5,5,0,80.1,1,0,
100.120125,0.4,27.31,9613,5,5,0,40.05,1,0,
100.210213,0.6,27.36,8872,5,5,0,60.13,1,0,
100.060066,0.8,27.31,9788,5,5,0,80.05,1,0,
100.150154,0.6,27.28,9613,5,5,0,60.09,1,0,
100.270271,0.2,27.31,8821,5,5,0,20.05,1,0,
100.060066,1.2,27.33,10016,5,5,0,120.07,1,0,
100.240242,0.2,27.36,10853,5,5,0,20.05,1,0,
100.210213,1,27.41,9806,5,5,0,100.21,1,0,
100.090096,0.6,27.28,9716,5,5,0,60.05,1,0,
100.120125,0.6,27.38,10445,5,5,0,60.07,1,0,
100.210213,1,27.38,9770,5,5,0,100.21,1,0,
100,0.4,27.36,11408,5,5,0,40,1,0,
100.180183,0.6,27.38,10229,5,5,0,60.11,1,0,
100.090096,0.8,27.33,8839,5,5,0,80.07,1,0,
100.300301,0.6,27.41,9548,5,5,0,60.18,1,0,
100.060066,1.2,27.36,9492,5,5,0,120.07,1,0,
100.210213,0.8,27.38,9445,5,5,0,80.17,1,0,
100.150154,0.6,27.41,10423,5,5,0,60.09,1,0,
100.150154,1.2,27.28,9813,5,5,0,120.18,1,0,
100.270271,0.2,27.38,9203,5,5,0,20.05,1,0,
100.750755,0.8,27.36,9936,5,5,0,80.6,1,0,
99.969971,1.2,27.33,11326,5,5,0,119.96,1,0,
100.270271,0,27.36,9608,5,5,0,0,1,0,
100.240242,0.8,27.36,10409,5,5,0,80.19,1,0,
100.120125,0.8,27.28,9855,5,5,0,80.1,1,0,
100.030029,0.4,27.36,9461,5,5,0,40.01,1,0,
100.180183,1,27.38,10268,5,5,0,100.18,1,0,
100.180183,0.4,27.38,10022,5,5,0,40.07,1,0,
100.030029,0.8,27.36,9842,5,5,0,80.02,1,0,
