Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2,Serial Number: 268275065
100.390396,-0.2,41.29,443,2,2,0,-20.08,1,0,
100.270271,2,41.23,1800,3,2,0,200.54,1,0,
100.390396,0.6,41.2,1984,4,2,0,60.23,1,0,
100.33033,0.2,41.2,1074,5,2,0,20.07,1,0,
100.570572,0.8,41.23,1829,5,2,0,80.46,1,0,
100.33033,0,41.23,2041,5,3,0,0,1,0,
100.480484,0.6,41.23,2909,5,3,0,60.29,1,0,
100.300301,1,41.26,3012,5,3,0,100.3,1,0,
100.510513,0,41.32,3390,5,3,0,0,1,0,
100.360359,0.6,41.35,3635,5,3,0,60.22,1,0,
100.63063,0.2,41.32,3387,5,4,0,20.13,1,0,
100.270271,0.8,41.29,3502,5,5,0,80.22,1,0,
100.300301,1.6,41.32,4731,5,5,0,160.48,1,0,
100.510513,0.2,41.35,5115,5,5,0,20.1,1,0,
100.360359,0.8,41.32,5742,5,5,0,80.29,1,0,
100.450455,1,41.26,5329,5,5,0,100.45,1,0,
100.510513,0,41.26,5408,5,5,0,0,1,0,
100.420425,1.2,41.26,6627,5,5,0,120.5,1,0,
100.300301,0.8,41.23,5814,5,5,0,80.24,1,0,
100.450455,0.4,41.26,5664,5,5,0,40.18,1,0,
100.450455,1,41.23,7544,5,5,0,100.45,1,0,
100.450455,0,41.32,6290,5,5,0,0,1,0,
100.360359,1,41.26,6963,5,5,0,100.36,1,0,
100.390396,1,41.23,6573,5,5,0,100.39,1,0,
100.480484,0.2,41.17,7143,5,5,0,20.1,1,0,
100.300301,1.2,41.26,6634,5,5,0,120.36,1,0,
100.510513,0.2,41.23,8386,5,5,0,20.1,1,0,
100.33033,0.2,41.29,7495,5,5,0,20.07,1,0,
100.480484,1,41.35,7574,5,5,0,100.48,1,0,
100.570572,0,41.32,7832,5,5,0,0,1,0,
100.810814,0.4,41.32,7684,5,5,0,40.32,1,0,
100.240242,0.8,41.32,6974,5,5,0,80.19,1,0,
100.480484,0.2,41.32,8669,5,5,0,20.1,1,0,
100.510513,1.2,41.23,7940,5,5,0,120.61,1,0,
100.480484,0.4,41.26,8704,5,5,0,40.19,1,0,
100.450455,0.4,41.35,7617,5,5,0,40.18,1,0,
100.540543,1,41.29,8112,5,5,0,100.54,1,0,
100.210213,0,41.29,8428,5,5,0,0,1,0,
100.240242,1,41.26,8111,5,5,0,100.24,1,0,
100.480484,0.8,41.29,8445,5,5,0,80.38,1,0,
